DATE,PHOSROCK,UREA_EE_BULK,POTASH,ALUMINUM,IRON_ORE,COPPER,LEAD,Tin,NICKEL,Zinc,GOLD,PLATINUM,SILVER
2022-12-01,164.55336040136663,343.2568737359112,373.5317637887382,2019.6153626772102,110.30325540989864,6523.872321884729,2258.349240981886,22145.858269797925,19051.88985935156,2303.2709114636177,1496.3708085701012,1212.7178964080128,20.365012961576603
2023-01-01,155.24045690955683,346.7988627147511,368.4475380803915,1984.973827348853,100.11791494204594,6733.663106241136,2243.757991356544,20418.62289850448,19365.063618758013,2528.5736933335693,1445.0706049079404,1164.1314680256546,21.913826856942162
2023-02-01,149.20849711679435,304.0493164935373,369.4110198935503,1964.8586049611706,108.9632289214608,6814.909813546093,2103.422381047421,21390.498001151638,19464.645200256906,2316.5138759957376,1473.4656232021678,1180.5271527697462,21.543749133363093
2023-03-01,161.40803530748838,340.23386686172967,370.725958236072,1980.6342787266394,109.78805625775696,6515.566465674485,2193.5935220462493,20835.43783508462,18950.96179764141,2428.496624457633,1451.2042225165894,1179.589813942282,21.221582366955968
2023-04-01,161.33407476144922,331.7703719411788,373.0003209336702,1890.405051789368,115.37436375721427,6625.344843366988,2137.0307528872327,21475.221208969393,19631.812401749285,2274.9466008286277,1490.2928685578681,1224.635228126068,21.43737048488013
2023-05-01,145.8242675134821,334.3694821910163,367.8037967094233,1921.4642128181958,106.23654897169085,6545.44713070465,2208.521932076427,21209.507586489828,20428.73221393322,2452.4066916642373,1548.0883319224542,1221.2315581641412,22.508641131745655
2023-06-01,147.56184197212767,330.8986729426566,350.2590283507224,1869.244172966828,110.84442680274005,6297.710003986401,2109.5621244630865,19452.684440620076,19083.361553966006,2195.945607218202,1459.1352662438762,1174.0089601711738,21.314657522839674
2023-07-01,148.91271338009633,331.20726967522944,351.4493812246589,1903.4114464116483,111.42459242642765,6084.3175731753645,2117.562718877114,20027.07841788151,18243.83273194037,2357.025796494859,1527.3627619775198,1145.7324032330928,22.01067538881028
2023-08-01,138.72293301565128,302.0954302215784,324.56667111411303,1883.4007923486743,115.98799936136449,6232.02876641237,2126.1663767264463,21352.85632826881,19863.87320004902,2383.663856719998,1543.3802652585382,1223.1403163626037,23.130561638675047
2023-09-01,133.55258925957514,326.4686091029946,328.0424872977954,1842.265957315873,118.18151418671134,6401.792743390941,2119.631862363123,19864.074763788638,18889.303459152172,2270.8079086553944,1506.436904591695,1128.3244599527382,22.165013901326216
2023-10-01,135.8311000873657,304.91243656573283,313.53598389692183,1942.1530509813354,117.5026424478071,6095.835198173341,2005.2488603120892,19475.39209728542,17919.493522569606,2117.449348217718,1510.4008368331931,1254.4584350093971,21.472069068545892
2023-11-01,126.15145606145943,317.0048272660886,296.27142101010384,1814.0656148139444,110.92301405238888,6155.2160302791535,2250.596821347708,19606.086279939063,17200.67499102013,2402.5138394457613,1477.1973448179554,1156.2043368505924,22.021951550519073
2023-12-01,112.90151018067337,267.8403199135063,287.55129179390065,1796.1568136803191,96.5144903838061,6316.713228629978,2134.817667393001,21198.178501537033,13794.75148707681,2372.04820524457,1492.4609238281118,1091.9370396054767,19.98208499322465
2024-01-01,97.96970833584093,258.89445287692564,296.61129359724066,1749.8726979213052,94.01596500088336,6192.781606824392,2167.11955459998,21885.36195341677,14600.223980548133,2327.99115141467,1568.6921122659578,1150.07655320951,19.60889451840703
2024-02-01,89.89860082659175,239.52685987760262,285.62923469570575,1835.2954466437068,99.14655421335085,6610.765869943951,2200.292460429573,21856.09488566695,14908.724257859649,2520.60516385846,1594.6417250511465,1139.4466615978465,20.56930089135921
2024-03-01,98.58478603284878,242.50523584370717,270.9261309191438,1854.1665987709937,96.24571526127995,6672.877719472998,2152.218702298615,21791.860302493333,14264.739273550631,2420.3680193986247,1637.5904136133747,1115.0974449577955,20.75671728928645
2024-04-01,107.28479782486443,281.8316723572359,285.6114036328818,2011.0522019226432,95.15849283887256,6664.321937587173,2163.0326971245195,23016.019943689884,13107.761515725164,2529.763231524434,1626.215761183024,1134.0290957742989,21.667472388513183
2024-05-01,101.65350716091969,224.95478030312918,269.60772618456,2082.414840618916,100.76558769811487,6636.184567014605,2152.323075451727,22710.513147503727,15588.808769718386,2573.302449739275,1605.0043631656467,1204.0642773899872,21.3776966200968
2024-06-01,111.87622181825328,243.36268464464771,259.2275724767255,2050.4066329489337,98.8129454834695,6647.968827559178,2210.8083282962634,23493.496221522088,14693.025258734588,2657.801029085432,1616.4011141247793,1193.4887963706421,23.9752336175705
2024-07-01,121.15301050264993,260.5461961385793,230.4303334840298,2014.0270438157122,98.13443743940954,6748.641084064095,2107.8738791780147,23378.50976021559,14161.9666701523,2738.5073700670173,1679.2517671999447,1177.3101254972794,22.892626956791915
2024-08-01,92.73591401316767,221.89201199675887,236.92480260093566,2212.701751305924,103.48715966337603,7374.152781212933,2455.9803190461644,24258.89483408577,14808.803123678681,2797.291072695669,1672.4649776340443,1261.2579938188778,24.524911461134913
2024-09-01,108.47142605606152,260.2268261294679,247.35447639271905,2175.1626456555387,101.21284539030512,7218.686771563562,2234.6346087649977,22830.245085003724,12451.790758277613,2820.2689602408273,1694.805100446408,1254.8573970695898,24.668339868125578
2024-10-01,115.59599623875371,279.6317999302654,236.12599030359672,2340.5957270725485,106.25770279964404,7070.570479650866,2248.0238226334736,22029.666647533417,12849.222463576903,2654.50892860908,1606.2762311939298,1162.2009781768515,25.71079740158758
2024-11-01,97.3746535005818,262.09454637542785,224.00577601111704,2331.6500192416715,99.05466025875475,7340.417093752289,2272.420431814282,23947.27414189297,14935.148355860123,2974.143180661786,1712.3386424963603,1276.8708645357312,25.073118965030957
